Episode 4400	Average Score: 120.420	Min Score: 15.861	Max Score: 279.978
Episode 4450	Average Score: 107.072	Min Score: 0.066	Max Score: 349.222
Episode 4500	Average Score: 94.767	Min Score: 15.275	Max Score: 341.486
Episode 4550	Average Score: 116.016	Min Score: 14.664	Max Score: 332.668
Episode 4600	Average Score: 143.370	Min Score: 12.215	Max Score: 498.713
Episode 4650	Average Score: 128.796	Min Score: 14.924	Max Score: 719.754
Episode 4700	Average Score: 98.265	Min Score: 20.184	Max Score: 267.071
Episode 4750	Average Score: 93.762	Min Score: 28.144	Max Score: 268.769
Episode 4800	Average Score: 89.081	Min Score: 0.083	Max Score: 223.303
Episode 4850	Average Score: 82.045	Min Score: 11.169	Max Score: 298.108
Episode 4900	Average Score: 86.987	Min Score: 0.086	Max Score: 322.181
Episode 4950	Average Score: 107.282	Min Score: 12.156	Max Score: 590.022
Episode 5000	Average Score: 122.029	Min Score: 17.993	Max Score: 254.453
Episode 5050	Average Score: 117.227	Min Score: 17.446	Max Score: 335.142
Episode 5100	Average Score: 109.506	Min Score: 10.951	Max Score: 503.498
Episode 5150	Average Score: 106.748	Min Score: 17.474	Max Score: 304.891
Episode 5200	Average Score: 121.902	Min Score: 17.951	Max Score: 435.445
Episode 5250	Average Score: 127.240	Min Score: 17.154	Max Score: 519.479
Episode 5300	Average Score: 111.238	Min Score: 0.094	Max Score: 342.232
Episode 5350	Average Score: 100.397	Min Score: 0.079	Max Score: 395.148
Episode 5400	Average Score: 111.433	Min Score: 21.112	Max Score: 369.766
Episode 5450	Average Score: 121.728	Min Score: 13.166	Max Score: 450.290
Episode 5500	Average Score: 113.314	Min Score: 0.044	Max Score: 349.102
Episode 5550	Average Score: 121.818	Min Score: 0.101	Max Score: 437.551
Episode 5600	Average Score: 134.929	Min Score: 26.326	Max Score: 420.015
Episode 5650	Average Score: 136.954	Min Score: 15.262	Max Score: 641.507
Episode 5700	Average Score: 124.965	Min Score: 13.888	Max Score: 468.630
Episode 5750	Average Score: 120.834	Min Score: 13.342	Max Score: 351.639
Episode 5800	Average Score: 127.732	Min Score: 21.714	Max Score: 483.636
Episode 5850	Average Score: 124.735	Min Score: 21.310	Max Score: 393.873
Episode 5900	Average Score: 135.326	Min Score: 10.850	Max Score: 600.219
Episode 5950	Average Score: 140.640	Min Score: 0.100	Max Score: 424.837
Episode 6000	Average Score: 131.429	Min Score: 29.378	Max Score: 405.281
Episode 6050	Average Score: 124.024	Min Score: 15.087	Max Score: 562.433
Episode 6100	Average Score: 114.803	Min Score: 0.059	Max Score: 689.839
Episode 6150	Average Score: 124.976	Min Score: 18.372	Max Score: 378.745
Episode 6200	Average Score: 143.278	Min Score: 11.161	Max Score: 610.750
