Episode 50	Average Score: 153.419	Min Score: 20.257	Max Score: 838.102
Episode 100	Average Score: 155.766	Min Score: 19.245	Max Score: 1053.767
Episode 150	Average Score: 159.373	Min Score: 13.572	Max Score: 1050.662
Episode 200	Average Score: 154.609	Min Score: 18.408	Max Score: 1063.847
Episode 250	Average Score: 139.990	Min Score: 13.943	Max Score: 500.334
Episode 300	Average Score: 129.224	Min Score: 15.729	Max Score: 512.969
Episode 350	Average Score: 146.329	Min Score: 15.371	Max Score: 938.950
Episode 400	Average Score: 152.273	Min Score: 22.254	Max Score: 382.569
Episode 450	Average Score: 147.429	Min Score: 17.241	Max Score: 1025.552
Episode 500	Average Score: 152.349	Min Score: 16.552	Max Score: 397.413
Episode 550	Average Score: 130.456	Min Score: 13.224	Max Score: 640.497
Episode 600	Average Score: 105.250	Min Score: 18.358	Max Score: 429.811
Episode 650	Average Score: 108.563	Min Score: 19.717	Max Score: 454.987
Episode 700	Average Score: 120.453	Min Score: 21.326	Max Score: 769.918
Episode 750	Average Score: 132.725	Min Score: 23.581	Max Score: 557.280
Episode 800	Average Score: 117.048	Min Score: 13.621	Max Score: 360.935
Episode 850	Average Score: 115.216	Min Score: 18.380	Max Score: 762.224
Episode 900	Average Score: 140.633	Min Score: 16.530	Max Score: 575.685
Episode 950	Average Score: 158.145	Min Score: 19.599	Max Score: 617.155
Episode 1000	Average Score: 189.847	Min Score: 15.410	Max Score: 1295.140
Episode 1050	Average Score: 188.307	Min Score: 10.169	Max Score: 1169.009
Episode 1100	Average Score: 212.458	Min Score: 22.294	Max Score: 708.134
Episode 1150	Average Score: 249.295	Min Score: 18.058	Max Score: 730.457
Episode 1200	Average Score: 238.143	Min Score: 17.809	Max Score: 760.920
