Episode 50	Average Score: 540.990	Min Score: 67.369	Max Score: 970.873
Episode 100	Average Score: 591.944	Min Score: 117.471	Max Score: 1075.963
Episode 150	Average Score: 630.174	Min Score: 14.075	Max Score: 1114.392
Episode 200	Average Score: 539.291	Min Score: 18.153	Max Score: 1176.434
Episode 250	Average Score: 434.205	Min Score: 32.679	Max Score: 1082.115
Episode 300	Average Score: 420.809	Min Score: 18.936	Max Score: 1204.360
Episode 350	Average Score: 418.678	Min Score: 33.196	Max Score: 1260.169
Episode 400	Average Score: 361.494	Min Score: 23.456	Max Score: 1063.922
Episode 450	Average Score: 321.825	Min Score: 31.463	Max Score: 1156.816
Episode 500	Average Score: 313.071	Min Score: 20.353	Max Score: 1092.870
Episode 550	Average Score: 268.445	Min Score: 18.065	Max Score: 1191.542
Episode 600	Average Score: 273.788	Min Score: 33.318	Max Score: 1001.337
Episode 650	Average Score: 282.770	Min Score: 27.253	Max Score: 828.817
Episode 700	Average Score: 273.641	Min Score: 15.867	Max Score: 1064.330
Episode 750	Average Score: 304.022	Min Score: 23.310	Max Score: 1447.310
Episode 800	Average Score: 360.621	Min Score: 28.584	Max Score: 1346.220
Episode 850	Average Score: 409.901	Min Score: 21.137	Max Score: 1164.570
Episode 900	Average Score: 366.856	Min Score: 28.458	Max Score: 1298.991
Episode 950	Average Score: 338.956	Min Score: 39.092	Max Score: 1121.394
Episode 1000	Average Score: 314.683	Min Score: 25.155	Max Score: 1481.151
Episode 1050	Average Score: 267.738	Min Score: 25.824	Max Score: 794.158
Episode 1100	Average Score: 245.415	Min Score: 25.847	Max Score: 1502.635
Episode 1150	Average Score: 244.977	Min Score: 24.816	Max Score: 1534.290
Episode 1200	Average Score: 246.378	Min Score: 21.245	Max Score: 885.198
Episode 1250	Average Score: 248.753	Min Score: 18.829	Max Score: 857.190
Episode 1300	Average Score: 307.383	Min Score: 16.706	Max Score: 1334.304
Episode 1350	Average Score: 352.644	Min Score: 19.063	Max Score: 1611.620
Episode 1400	Average Score: 375.366	Min Score: 26.232	Max Score: 1610.544
Episode 1450	Average Score: 370.533	Min Score: 17.167	Max Score: 1139.631
Episode 1500	Average Score: 377.862	Min Score: 24.629	Max Score: 1679.326
Episode 1550	Average Score: 403.798	Min Score: 19.868	Max Score: 1597.680
Episode 1600	Average Score: 378.538	Min Score: 33.632	Max Score: 1611.058
Episode 1650	Average Score: 362.730	Min Score: 42.909	Max Score: 1229.624
Episode 1700	Average Score: 334.265	Min Score: 23.285	Max Score: 1207.137
Episode 1750	Average Score: 372.460	Min Score: 36.913	Max Score: 1245.087
Episode 1800	Average Score: 395.964	Min Score: 13.419	Max Score: 1645.272
Episode 1850	Average Score: 305.749	Min Score: 31.280	Max Score: 929.560
Episode 1900	Average Score: 271.780	Min Score: 21.368	Max Score: 1160.904
Episode 1950	Average Score: 301.869	Min Score: 27.279	Max Score: 1671.879
Episode 2000	Average Score: 337.688	Min Score: 30.572	Max Score: 1615.923
Episode 2050	Average Score: 380.380	Min Score: 17.740	Max Score: 1239.070
Episode 2100	Average Score: 457.431	Min Score: 36.769	Max Score: 1643.037
Episode 2150	Average Score: 504.430	Min Score: 16.675	Max Score: 1561.581
Episode 2200	Average Score: 447.342	Min Score: 15.664	Max Score: 1519.508
Episode 2250	Average Score: 396.455	Min Score: 19.658	Max Score: 1508.173
Episode 2300	Average Score: 421.305	Min Score: 21.616	Max Score: 1773.586
Episode 2350	Average Score: 402.402	Min Score: 20.650	Max Score: 1384.670
Episode 2400	Average Score: 354.613	Min Score: 30.177	Max Score: 1092.286
Episode 2450	Average Score: 406.588	Min Score: 29.724	Max Score: 1507.214
Episode 2500	Average Score: 384.854	Min Score: 32.723	Max Score: 926.934
Episode 2550	Average Score: 348.318	Min Score: 41.506	Max Score: 1609.831
Episode 2600	Average Score: 377.399	Min Score: 35.395	Max Score: 1158.734
Episode 2650	Average Score: 340.761	Min Score: 60.397	Max Score: 922.269
Episode 2700	Average Score: 330.832	Min Score: 28.380	Max Score: 1274.625
Episode 2750	Average Score: 397.526	Min Score: 31.546	Max Score: 1744.094
Episode 2800	Average Score: 474.215	Min Score: 27.861	Max Score: 1725.975
Episode 2850	Average Score: 504.717	Min Score: 47.737	Max Score: 1824.345
Episode 2900	Average Score: 426.030	Min Score: 46.124	Max Score: 1175.925
Episode 2950	Average Score: 329.424	Min Score: 18.126	Max Score: 1056.774
Episode 3000	Average Score: 344.487	Min Score: 23.790	Max Score: 1115.604
Episode 3050	Average Score: 351.309	Min Score: 26.741	Max Score: 1681.721
Episode 3100	Average Score: 395.399	Min Score: 44.201	Max Score: 1494.281
Episode 3150	Average Score: 431.806	Min Score: 37.338	Max Score: 1152.956
Episode 3200	Average Score: 416.658	Min Score: 30.617	Max Score: 1401.708
Episode 3250	Average Score: 402.643	Min Score: 52.784	Max Score: 1217.271
Episode 3300	Average Score: 398.578	Min Score: 39.895	Max Score: 1352.546
Episode 3350	Average Score: 438.806	Min Score: 25.184	Max Score: 1621.625
Episode 3400	Average Score: 507.865	Min Score: 53.887	Max Score: 1518.803
Episode 3450	Average Score: 558.428	Min Score: 16.132	Max Score: 1855.735
Episode 3500	Average Score: 537.948	Min Score: 27.289	Max Score: 1496.067
Episode 3550	Average Score: 520.714	Min Score: 24.094	Max Score: 1540.077
Episode 3600	Average Score: 515.203	Min Score: 25.579	Max Score: 1792.465
Episode 3650	Average Score: 492.661	Min Score: 33.906	Max Score: 1475.678
Episode 3700	Average Score: 513.229	Min Score: 41.958	Max Score: 1501.101
Episode 3750	Average Score: 561.180	Min Score: 29.526	Max Score: 1714.611
Episode 3800	Average Score: 618.497	Min Score: 47.590	Max Score: 1769.089
Episode 3850	Average Score: 640.254	Min Score: 42.033	Max Score: 1540.467
Episode 3900	Average Score: 514.001	Min Score: 30.554	Max Score: 1809.214
Episode 3950	Average Score: 399.637	Min Score: 48.243	Max Score: 1365.364
Episode 4000	Average Score: 468.332	Min Score: 42.869	Max Score: 1680.923
Episode 4050	Average Score: 558.864	Min Score: 37.023	Max Score: 1708.250
Episode 4100	Average Score: 496.761	Min Score: 34.880	Max Score: 1622.302
Episode 4150	Average Score: 439.035	Min Score: 29.691	Max Score: 1742.022
Episode 4200	Average Score: 531.684	Min Score: 35.406	Max Score: 1774.983
Episode 4250	Average Score: 486.551	Min Score: 39.303	Max Score: 962.326
Episode 4300	Average Score: 339.797	Min Score: 32.603	Max Score: 1180.898
Episode 4350	Average Score: 327.470	Min Score: 27.305	Max Score: 1310.401
Episode 4400	Average Score: 326.550	Min Score: 17.430	Max Score: 1247.823
Episode 4450	Average Score: 310.805	Min Score: 18.676	Max Score: 1194.935
Episode 4500	Average Score: 320.620	Min Score: 28.848	Max Score: 942.004
Episode 4550	Average Score: 304.568	Min Score: 44.098	Max Score: 761.854
Episode 4600	Average Score: 295.730	Min Score: 45.530	Max Score: 808.174
