Episode 50	Average Score: 875.687	Min Score: 14.772	Max Score: 2343.831
Episode 100	Average Score: 863.873	Min Score: 55.050	Max Score: 2281.855
Episode 150	Average Score: 811.214	Min Score: 40.129	Max Score: 2289.414
Episode 200	Average Score: 792.372	Min Score: 30.925	Max Score: 2362.579
Episode 250	Average Score: 860.700	Min Score: 152.647	Max Score: 2333.302
Episode 300	Average Score: 856.861	Min Score: 28.450	Max Score: 2365.756
Episode 350	Average Score: 892.673	Min Score: 79.109	Max Score: 2308.256
Episode 400	Average Score: 864.586	Min Score: 46.780	Max Score: 2347.985
Episode 450	Average Score: 780.460	Min Score: 26.147	Max Score: 2344.619
Episode 500	Average Score: 852.770	Min Score: 94.086	Max Score: 2347.930
Episode 550	Average Score: 922.317	Min Score: 86.489	Max Score: 2351.015
Episode 600	Average Score: 868.415	Min Score: 42.374	Max Score: 2314.672
Episode 650	Average Score: 944.496	Min Score: 62.467	Max Score: 2388.383
Episode 700	Average Score: 1000.596	Min Score: 139.405	Max Score: 2392.119
Episode 750	Average Score: 772.126	Min Score: 28.796	Max Score: 1521.294
Episode 800	Average Score: 726.169	Min Score: 24.276	Max Score: 2333.545
Episode 850	Average Score: 977.538	Min Score: 52.109	Max Score: 2349.928
Episode 900	Average Score: 1129.183	Min Score: 156.767	Max Score: 2383.421
Episode 950	Average Score: 985.325	Min Score: 39.870	Max Score: 2405.663
Episode 1000	Average Score: 912.966	Min Score: 73.664	Max Score: 2382.364
Episode 1050	Average Score: 735.322	Min Score: 42.425	Max Score: 1664.766
Episode 1100	Average Score: 590.142	Min Score: 59.121	Max Score: 2029.266
Episode 1150	Average Score: 702.915	Min Score: 34.815	Max Score: 2053.169
Episode 1200	Average Score: 628.950	Min Score: 32.039	Max Score: 1684.295
Episode 1250	Average Score: 577.071	Min Score: 47.449	Max Score: 1899.598
Episode 1300	Average Score: 679.192	Min Score: 21.538	Max Score: 2459.214
Episode 1350	Average Score: 645.157	Min Score: 29.004	Max Score: 1799.575
Episode 1400	Average Score: 597.850	Min Score: 43.133	Max Score: 2475.263
Episode 1450	Average Score: 661.826	Min Score: 74.064	Max Score: 2245.085
Episode 1500	Average Score: 658.920	Min Score: 34.268	Max Score: 2399.497
Episode 1550	Average Score: 648.026	Min Score: 46.982	Max Score: 2019.521
Episode 1600	Average Score: 663.762	Min Score: 60.050	Max Score: 2233.006
Episode 1650	Average Score: 612.261	Min Score: 89.810	Max Score: 2112.381
Episode 1700	Average Score: 610.813	Min Score: 32.780	Max Score: 2339.244
Episode 1750	Average Score: 668.626	Min Score: 32.760	Max Score: 2067.883
Episode 1800	Average Score: 663.161	Min Score: 32.414	Max Score: 1716.017
Episode 1850	Average Score: 601.420	Min Score: 29.287	Max Score: 1787.471
Episode 1900	Average Score: 571.628	Min Score: 34.795	Max Score: 1495.095
Episode 1950	Average Score: 658.881	Min Score: 46.482	Max Score: 2112.099
Episode 2000	Average Score: 761.441	Min Score: 73.656	Max Score: 2344.652
Episode 2050	Average Score: 768.435	Min Score: 44.312	Max Score: 1944.453
Episode 2100	Average Score: 834.221	Min Score: 70.887	Max Score: 2333.513
Episode 2150	Average Score: 840.749	Min Score: 65.768	Max Score: 2361.122
Episode 2200	Average Score: 854.985	Min Score: 98.966	Max Score: 2425.847
Episode 2250	Average Score: 981.285	Min Score: 61.425	Max Score: 2446.496
Episode 2300	Average Score: 1041.512	Min Score: 70.810	Max Score: 2397.639
Episode 2350	Average Score: 986.414	Min Score: 63.780	Max Score: 2442.721
Episode 2400	Average Score: 975.990	Min Score: 78.690	Max Score: 2427.042
Episode 2450	Average Score: 1003.701	Min Score: 37.790	Max Score: 2434.580
Episode 2500	Average Score: 972.871	Min Score: 79.961	Max Score: 2416.409
Episode 2550	Average Score: 1054.867	Min Score: 95.290	Max Score: 2453.415
Episode 2600	Average Score: 1149.935	Min Score: 127.218	Max Score: 2458.253
Episode 2650	Average Score: 900.091	Min Score: 25.509	Max Score: 2053.895
Episode 2700	Average Score: 629.374	Min Score: 22.785	Max Score: 2404.076
I:\MyDev\Anaconda3\envs\drlnd\lib\site-packages\numpy\core\fromnumeric.py:83: RuntimeWarning: invalid value encountered in reduce
  return ufunc.reduce(obj, axis, dtype, out, **passkwargs)
Episode 2750	Average Score: nan	Min Score: nan	Max Score: nan
Episode 2800	Average Score: nan	Min Score: -0.575	Max Score: -0.575
Episode 2850	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 2900	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 2950	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3000	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3050	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3100	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3150	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3200	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3250	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3300	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3350	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3400	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3450	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3500	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
