agent.LR=5e-4
agent.GRADIENT_CLIP=5
agent.EPOCHS=8
agent.BATCH_SIZE=64
agent.GAMMA=0.99
agent.GAE_TAU=0.95
agent.CLIP_EPSILON=0.2
agent.C1 = 0.5
agent.C2 = 1
scores = train(agent, n_episodes=100000, max_t=1010, train_mode=True)

Episode 4150	Average Score: 67.277	Min Score: 16.733	Max Score: 202.192
Episode 4200	Average Score: 61.784	Min Score: 16.347	Max Score: 173.298
Episode 4250	Average Score: 51.920	Min Score: 8.731	Max Score: 114.542
Episode 4300	Average Score: 48.670	Min Score: 12.368	Max Score: 121.455
Episode 4350	Average Score: 47.718	Min Score: 9.241	Max Score: 161.241
Episode 4400	Average Score: 50.713	Min Score: 9.183	Max Score: 142.543
Episode 4450	Average Score: 55.856	Min Score: 12.057	Max Score: 154.237
Episode 4500	Average Score: 55.534	Min Score: 10.432	Max Score: 223.528
Episode 4550	Average Score: 62.421	Min Score: 11.016	Max Score: 203.850
Episode 4600	Average Score: 67.579	Min Score: 11.768	Max Score: 208.026
Episode 4650	Average Score: 62.472	Min Score: 12.636	Max Score: 266.360
Episode 4700	Average Score: 58.058	Min Score: 11.388	Max Score: 255.985
Episode 4750	Average Score: 53.698	Min Score: 7.422	Max Score: 176.844
Episode 4800	Average Score: 51.000	Min Score: 10.598	Max Score: 149.392
Episode 4850	Average Score: 47.042	Min Score: 9.276	Max Score: 152.692
Episode 4900	Average Score: 51.481	Min Score: 7.865	Max Score: 210.776
Episode 4950	Average Score: 66.750	Min Score: 14.968	Max Score: 223.899
Episode 5000	Average Score: 75.299	Min Score: 13.633	Max Score: 258.823
Episode 5050	Average Score: 70.356	Min Score: 11.014	Max Score: 285.677
Episode 5100	Average Score: 64.487	Min Score: 19.773	Max Score: 466.872
Episode 5150	Average Score: 61.029	Min Score: 13.364	Max Score: 199.970
Episode 5200	Average Score: 66.501	Min Score: 14.609	Max Score: 368.549
Episode 5250	Average Score: 66.135	Min Score: 10.531	Max Score: 210.597
Episode 5300	Average Score: 60.737	Min Score: 13.728	Max Score: 267.434
Episode 5350	Average Score: 64.101	Min Score: 14.762	Max Score: 210.963
Episode 5400	Average Score: 69.773	Min Score: 9.919	Max Score: 274.170
Episode 5450	Average Score: 76.805	Min Score: 14.523	Max Score: 292.759
Episode 5500	Average Score: 67.499	Min Score: 9.428	Max Score: 160.399
Episode 5550	Average Score: 63.364	Min Score: 13.513	Max Score: 319.267
Episode 5600	Average Score: 78.501	Min Score: 9.983	Max Score: 292.880
