Episode 50	Average Score: 900.233	Min Score: 91.861	Max Score: 2404.568
Episode 100	Average Score: 853.493	Min Score: 46.129	Max Score: 2434.515
Episode 150	Average Score: 760.727	Min Score: 22.447	Max Score: 2134.763
Episode 200	Average Score: 752.678	Min Score: 28.233	Max Score: 2404.626
Episode 250	Average Score: 775.405	Min Score: 57.333	Max Score: 2147.677
Episode 300	Average Score: 709.891	Min Score: 19.844	Max Score: 2037.605
Episode 350	Average Score: 672.593	Min Score: 57.521	Max Score: 2408.578
Episode 400	Average Score: 729.248	Min Score: 17.256	Max Score: 2401.985
Episode 450	Average Score: 744.396	Min Score: 48.606	Max Score: 2121.546
Episode 500	Average Score: 646.747	Min Score: 17.892	Max Score: 2103.910
Episode 550	Average Score: 651.909	Min Score: 18.837	Max Score: 2418.148
Episode 600	Average Score: 742.037	Min Score: 44.359	Max Score: 2487.572
Episode 650	Average Score: 717.740	Min Score: 34.111	Max Score: 1883.444
Episode 700	Average Score: 575.068	Min Score: 48.133	Max Score: 1204.068
Episode 750	Average Score: 507.127	Min Score: 35.249	Max Score: 1919.854
Episode 800	Average Score: 566.341	Min Score: 32.952	Max Score: 1558.040
Episode 850	Average Score: 566.171	Min Score: 29.813	Max Score: 1496.292
Episode 900	Average Score: 463.821	Min Score: 29.551	Max Score: 1177.856
Episode 950	Average Score: 395.958	Min Score: 25.362	Max Score: 1174.983
Episode 1000	Average Score: 425.441	Min Score: 37.189	Max Score: 1126.093
Episode 1050	Average Score: 427.592	Min Score: 25.818	Max Score: 1422.786
Episode 1100	Average Score: 419.148	Min Score: 55.266	Max Score: 1630.218
Episode 1150	Average Score: 454.337	Min Score: 52.760	Max Score: 1833.007
Episode 1200	Average Score: 474.112	Min Score: 36.044	Max Score: 1228.755
Episode 1250	Average Score: 454.794	Min Score: 81.516	Max Score: 1504.057
Episode 1300	Average Score: 477.817	Min Score: 42.813	Max Score: 2164.826
Episode 1350	Average Score: 595.389	Min Score: 36.687	Max Score: 2382.924
Episode 1400	Average Score: 653.206	Min Score: 40.713	Max Score: 1860.499
Episode 1450	Average Score: 722.241	Min Score: 36.357	Max Score: 2480.208
Episode 1500	Average Score: 735.956	Min Score: 49.624	Max Score: 1606.422
Episode 1550	Average Score: 685.907	Min Score: 37.794	Max Score: 1906.979
Episode 1600	Average Score: 714.634	Min Score: 38.570	Max Score: 2406.695
Episode 1650	Average Score: 723.028	Min Score: 56.216	Max Score: 2389.296
Episode 1700	Average Score: 804.405	Min Score: 54.999	Max Score: 2427.318
Episode 1750	Average Score: 801.668	Min Score: 24.241	Max Score: 2016.299
Episode 1800	Average Score: 826.804	Min Score: 45.043	Max Score: 2408.309
Episode 1850	Average Score: 771.534	Min Score: 41.110	Max Score: 1872.516
Episode 1900	Average Score: 667.070	Min Score: 18.968	Max Score: 2394.994
Episode 1950	Average Score: 842.921	Min Score: 17.420	Max Score: 2409.658
Episode 2000	Average Score: 887.205	Min Score: 41.382	Max Score: 2385.759
Episode 2050	Average Score: 866.233	Min Score: 151.641	Max Score: 2393.738
Episode 2100	Average Score: 929.852	Min Score: 83.341	Max Score: 2411.709
Episode 2150	Average Score: 978.192	Min Score: 30.305	Max Score: 2429.664
Episode 2200	Average Score: 918.991	Min Score: 61.089	Max Score: 2453.888
Episode 2250	Average Score: 778.054	Min Score: 42.609	Max Score: 2360.833
