Episode 50	Average Score: 88.599	Min Score: 13.519	Max Score: 355.885
Episode 100	Average Score: 102.590	Min Score: 13.788	Max Score: 539.249
Episode 150	Average Score: 119.715	Min Score: 10.797	Max Score: 429.447
Episode 200	Average Score: 115.241	Min Score: 15.160	Max Score: 280.946
Episode 250	Average Score: 101.766	Min Score: 12.320	Max Score: 448.019
Episode 300	Average Score: 104.271	Min Score: 9.723	Max Score: 422.067
Episode 350	Average Score: 111.279	Min Score: 14.473	Max Score: 394.758
Episode 400	Average Score: 94.988	Min Score: 13.651	Max Score: 338.382
Episode 450	Average Score: 82.785	Min Score: 12.465	Max Score: 727.890
Episode 500	Average Score: 99.911	Min Score: 11.450	Max Score: 504.901
Episode 550	Average Score: 105.658	Min Score: 15.321	Max Score: 521.953
Episode 600	Average Score: 110.383	Min Score: 12.668	Max Score: 434.273
Episode 650	Average Score: 133.297	Min Score: 12.083	Max Score: 504.849
Episode 700	Average Score: 120.454	Min Score: 13.125	Max Score: 586.149
Episode 750	Average Score: 108.010	Min Score: 6.088	Max Score: 456.809
Episode 800	Average Score: 120.743	Min Score: 0.984	Max Score: 658.307
Episode 850	Average Score: 154.155	Min Score: 14.686	Max Score: 878.844
Episode 900	Average Score: 146.032	Min Score: 9.257	Max Score: 409.841
Episode 950	Average Score: 106.890	Min Score: 11.328	Max Score: 529.808
Episode 1000	Average Score: 111.807	Min Score: 17.072	Max Score: 891.492
Episode 1050	Average Score: 103.356	Min Score: 16.171	Max Score: 278.930
Episode 1100	Average Score: 104.506	Min Score: 9.519	Max Score: 636.727
Episode 1150	Average Score: 97.986	Min Score: 13.434	Max Score: 209.764
Episode 1200	Average Score: 90.771	Min Score: 14.073	Max Score: 341.159
Episode 1250	Average Score: 85.554	Min Score: 9.937	Max Score: 336.544
Episode 1300	Average Score: 68.303	Min Score: 13.655	Max Score: 261.870
Episode 1350	Average Score: 69.167	Min Score: 11.127	Max Score: 256.943
Episode 1400	Average Score: 79.593	Min Score: 13.935	Max Score: 517.291
Episode 1450	Average Score: 86.068	Min Score: 7.757	Max Score: 273.077
Episode 1500	Average Score: 110.476	Min Score: 15.006	Max Score: 646.389
Episode 1550	Average Score: 120.003	Min Score: 14.015	Max Score: 383.203
Episode 1600	Average Score: 98.866	Min Score: 0.854	Max Score: 305.303
Episode 1650	Average Score: 94.286	Min Score: 15.411	Max Score: 327.739
Episode 1700	Average Score: 87.336	Min Score: 11.244	Max Score: 414.425
Episode 1750	Average Score: 89.596	Min Score: 1.034	Max Score: 419.371
Episode 1800	Average Score: 83.258	Min Score: 3.169	Max Score: 336.058
Episode 1850	Average Score: 70.780	Min Score: 13.227	Max Score: 298.587
Episode 1900	Average Score: 77.491	Min Score: 10.917	Max Score: 362.079
Episode 1950	Average Score: 81.952	Min Score: 13.123	Max Score: 271.052
Episode 2000	Average Score: 77.483	Min Score: 12.671	Max Score: 208.063
Episode 2050	Average Score: 81.719	Min Score: 11.850	Max Score: 345.504
Episode 2100	Average Score: 94.589	Min Score: 16.476	Max Score: 309.040
Episode 2150	Average Score: 94.366	Min Score: 12.572	Max Score: 284.851
Episode 2200	Average Score: 109.954	Min Score: 11.959	Max Score: 557.950
Episode 2250	Average Score: 142.904	Min Score: 14.975	Max Score: 592.840
Episode 2300	Average Score: 147.723	Min Score: 14.171	Max Score: 399.055
Episode 2350	Average Score: 118.278	Min Score: 13.908	Max Score: 425.911
Episode 2400	Average Score: 109.119	Min Score: 13.344	Max Score: 646.333
Episode 2450	Average Score: 137.371	Min Score: 10.908	Max Score: 485.887
Episode 2500	Average Score: 145.205	Min Score: 17.828	Max Score: 642.067
Episode 2550	Average Score: 134.629	Min Score: 19.936	Max Score: 445.072
Episode 2600	Average Score: 137.270	Min Score: 11.634	Max Score: 427.610
Episode 2650	Average Score: 160.758	Min Score: 15.229	Max Score: 548.050
Episode 2700	Average Score: 179.744	Min Score: 12.978	Max Score: 612.223
Episode 2750	Average Score: 184.626	Min Score: 12.825	Max Score: 895.337
Episode 2800	Average Score: 166.372	Min Score: 10.742	Max Score: 641.194
Episode 2850	Average Score: 133.399	Min Score: 13.455	Max Score: 300.468
Episode 2900	Average Score: 117.305	Min Score: 10.590	Max Score: 715.033
Episode 2950	Average Score: 116.517	Min Score: 14.076	Max Score: 467.764
Episode 3000	Average Score: 116.620	Min Score: 12.417	Max Score: 471.089
Episode 3050	Average Score: 112.575	Min Score: 12.488	Max Score: 476.271
Episode 3100	Average Score: 123.117	Min Score: 12.292	Max Score: 550.347
Episode 3150	Average Score: 147.410	Min Score: 18.287	Max Score: 659.773
Episode 3200	Average Score: 136.143	Min Score: 12.373	Max Score: 439.070
Episode 3250	Average Score: 122.600	Min Score: 14.675	Max Score: 481.230
Episode 3300	Average Score: 149.401	Min Score: 15.657	Max Score: 693.475
Episode 3350	Average Score: 200.299	Min Score: 15.994	Max Score: 903.828
